Region,Description,IOIG code,Column group,Direct only,Year 1 $m,HEC category,Weight
NSW,"Other recreation durables, gardens and pets - Other manufactured products",2502,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.55
NSW,"Other recreation durables, gardens and pets - Other agriculture",0103,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.25
NSW,"Other recreation durables, gardens and pets - Other food product manufacturing",1109,Q1_HFCE,N,,"Other recreation durables, gardens and pets",0.2
NSW,Financial and other services - Finance,6201,Q1_HFCE,N,,Financial and other services,0.7
NSW,Financial and other services - Auxiliary finance and insurance services,6401,Q1_HFCE,N,,Financial and other services,0.3
NSW,Personal effects - Other manufactured products,2502,Q1_HFCE,N,,Personal effects,1.0
NSW,"Household textiles, glassware and utensils - Textile product manufacturing",1303,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.45
NSW,"Household textiles, glassware and utensils - Glass and glass product manufacturing",2001,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.2
NSW,"Household textiles, glassware and utensils - Ceramic product manufacturing",2002,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.15
NSW,"Household textiles, glassware and utensils - Other fabricated metal product manufacturing",2204,Q1_HFCE,N,,"Household textiles, glassware and utensils",0.2
NSW,Tools and equipment for house and garden - Other fabricated metal product manufacturing,2204,Q1_HFCE,N,,Tools and equipment for house and garden,0.6
NSW,Tools and equipment for house and garden - Specialised and other machinery and equipment manufacturing,2405,Q1_HFCE,N,,Tools and equipment for house and garden,0.4
NSW,Postal services - Postal and courier pick-up and delivery service,5101,Q1_HFCE,N,,Postal services,1.0
NSW,"Education - Arts, sports, adult and other education services",8210,Q1_HFCE,N,,Education,0.5
NSW,"Education - Technical, vocational and tertiary education services",8110,Q1_HFCE,N,,Education,0.35
NSW,Education - Primary and secondary education services,8010,Q1_HFCE,N,,Education,0.15
NSW,"Vehicle operation (fuel, servicing, etc.) - Petroleum and coal product manufacturing",1701,Q1_HFCE,N,,"Vehicle operation (fuel, servicing, etc.)",0.55
